GENEID	barcode01.filtered.bam	barcode02.filtered.bam	barcode03.filtered.bam	barcode04.filtered.bam	barcode05.filtered.bam	barcode06.filtered.bam	barcode07.filtered.bam	barcode08.filtered.bam	barcode09.filtered.bam	barcode10.filtered.bam	barcode11.filtered.bam	barcode18.filtered.bam	barcode19.filtered.bam	barcode20.filtered.bam	barcode21.filtered.bam
BambuGene1	20	15	21	21	15	11	9	21	15	23	16	21	17	14	14
BambuGene1003	4	2	0	3	0	2	2	1	6	2	4	4	2	1	2
BambuGene1005	7	6	3	4	1	3	0	3	4	4	5	5	9	2	1
BambuGene1008	0	1	2	1	0	1	0	0	0	0	2	0	0	0	0
BambuGene1014	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0
BambuGene1020	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
BambuGene1022	0	0	2	7	0	0	0	0	0	0	1	0	0	0	0
BambuGene1025	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0
BambuGene1029	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene1047	3	6	1	2	0	5	1	1	2	2	9	0	0	0	0
BambuGene105	2	1	3	6	2	2	0	2	3	5	3	1	3	2	0
BambuGene1051	5	2	0	4	0	0	0	1	1	0	4	0	2	1	0
BambuGene1053	1	0	0	1	0	0	0	0	0	0	0	3	1	0	0
BambuGene1059	1	0	0	1	1	0	0	0	1	0	1	0	2	0	2
BambuGene1065	1	0	0	6	0	0	0	1	1	0	2	0	0	3	0
BambuGene1067	0	0	1	10	3	1	1	2	4	0	7	2	4	1	3
BambuGene1075	17	6	8	12	3	3	2	5	24	9	11	7	4	2	1
BambuGene1082	2	1	0	7	0	0	0	0	0	0	0	0	0	0	1
BambuGene1088	2	2	3	5	1	1	0	1	0	0	0	0	0	0	1
BambuGene1097	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene11	2	1	2	1	0	0	1	0	0	0	0	0	0	0	0
BambuGene1108	9	5	7	8	1	0	1	2	7	3	5	7	10	8	12
BambuGene1117	5	13	1	5	1	0	0	0	3	0	0	0	0	0	0
BambuGene1122	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
BambuGene1124	37	5	27	42	14	30	6	13	16	8	29	0	0	0	0
BambuGene1127	0	0	1	2	0	2	0	0	2	2	1	0	0	0	0
BambuGene1138	0	0	0	0	0	0	0	0	0	0	0	5	3	3	1
BambuGene1148	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
BambuGene1169	3	0	0	0	0	0	0	1	2	0	4	2	0	0	0
BambuGene1173	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BambuGene1177	3	1	0	3	1	0	4	3	2	0	2	0	0	1	0
BambuGene1192	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
BambuGene1197	0	0	0	0	0	0	0	0	0	0	1	15	16	35	28
BambuGene1209	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0
BambuGene1225	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
BambuGene1231	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene1235	0	4	0	0	2	0	0	0	9	0	4	0	0	0	0
BambuGene1237	0	0	0	0	0	0	0	0	0	0	0	15	15	21	12
BambuGene1246	1	1	1	6	0	2	0	1	0	0	6	0	0	0	0
