gene_id,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode18,barcode19,barcode20,barcode21
BambuGene1,102.52152152152152,119.83183183183183,94.66066066066065,82.88888888888889,77.06306306306305,56.173173173173176,36.13513513513514,86.78378378378379,85.44444444444444,59.852852852852855,83.04504504504504,91.75275275275276,94.6936936936937,77.31731731731732,94.75675675675676
BambuGene1003,58.15115115115115,34.0,,127.12012012012012,,91.45545545545545,80.997997997998,51.0,133.8988988988989,91.54954954954955,96.76576576576576,68.0,91.92792792792793,31.0,18.51951951951952
BambuGene1005,100.58558558558559,63.0,78.43243243243244,37.0960960960961,100.0,112.41141141141141,,52.991991991991995,152.35435435435437,121.4984984984985,82.04104104104104,70.97297297297297,85.64164164164164,88.0,125.0
BambuGene1008,,86.0,46.46346346346346,67.0,,38.0,65.997997997998,,,,41.486486486486484,,,,
BambuGene1014,,,,,180.987987987988,,,,87.0,,33.0,,,,
BambuGene1020,,,,,,,,,,75.98498498498499,40.0,,,,
BambuGene1022,85.0,,96.93993993993993,56.86186186186186,,,,,44.98798798798799,84.0,104.992992992993,,,,
BambuGene1025,,,,,,,,,,,,59.0,96.993993993994,108.50450450450451,
BambuGene1029,,,,125.0,,,,,,,,,,,
BambuGene1033,,,214.0,,,33.0,,,,,,96.95395395395396,,77.45245245245245,
BambuGene1036,,,,62.990990990990994,,,,,,,,,,,
BambuGene1047,116.96196196196198,39.994994994995,29.0,84.97397397397397,,73.72072072072072,112.0,108.0,95.46046046046047,124.0,95.21821821821823,,,,
BambuGene105,,,,49.806806806806804,,24.982982982982985,,119.06406406406407,57.84484484484484,24.0,35.4984984984985,93.0,,,
BambuGene1051,32.62962962962963,43.0,,96.65265265265265,,,,21.0,,,114.33633633633633,,63.4944944944945,112.0,
BambuGene1053,93.0,,,107.0,,,,,,,,70.14114114114115,202.37537537537537,,
BambuGene1056,105.06306306306307,65.95495495495496,59.31731731731732,75.85185185185185,123.54954954954955,77.10810810810811,125.5945945945946,,79.47547547547548,176.0,88.30630630630631,,145.45445445445446,,
BambuGene1059,,,,103.0,58.0,,,,61.0,,43.0,,77.49049049049049,,128.4924924924925
BambuGene1065,46.0,,,89.5945945945946,,,,,196.0,,54.492492492492495,,,119.8108108108108,
BambuGene1067,,,110.0,44.10610610610611,77.8018018018018,162.0,69.0,,62.01201201201201,,106.18018018018017,64.97997997997999,65.56256256256256,116.0,120.0
BambuGene1075,100.43243243243242,47.03503503503503,64.77577577577577,76.01901901901903,107.58258258258257,126.13413413413413,157.0,59.627627627627625,120.47447447447448,52.02402402402402,88.45945945945945,72.77077077077077,89.95395395395396,64.02302302302303,156.0
BambuGene1082,124.49649649649649,29.0,,64.73573573573573,,,,,,,,,,,65.0
BambuGene1084,47.090090090090094,83.97697697697697,59.932932932932935,36.005005005005,61.1991991991992,58.93693693693694,,47.56456456456456,57.33333333333333,50.306306306306304,51.35835835835836,,,,
BambuGene1088,97.49649649649649,121.0,42.88288288288288,94.22222222222223,92.0,111.0,,67.0,,,,,,,79.0
BambuGene1097,61.0,,,,,,,,,,,,,,
BambuGene11,79.996996996997,,64.49849849849849,174.0,,,254.0,,,,,,,,
BambuGene1108,69.12612612612612,61.48048048048048,105.18618618618619,45.247247247247245,15.0,,44.0,202.4144144144144,76.38438438438438,36.474474474474476,83.44144144144144,63.846846846846844,37.92192192192192,96.02702702702703,42.04804804804805
BambuGene1117,65.46546546546547,77.08708708708708,163.0,97.85285285285285,117.0,,,,40.491491491491495,,,,,,
BambuGene1122,,,,,,,,,36.997997997998,,48.0,,,,
BambuGene1124,57.44244244244245,18.0,92.7107107107107,53.845845845845844,47.07507507507508,93.14114114114113,93.5945945945946,109.05705705705705,93.55555555555556,100.57957957957957,88.5935935935936,,,,
BambuGene1127,,,111.0,71.42742742742743,,79.49149149149149,,,92.45945945945945,74.96796796796797,,,,,
BambuGene1138,,,,,,,,,,,,58.24324324324324,101.50750750750751,81.58158158158159,79.0
BambuGene1148,,,,,,,,,59.985985985985984,,111.992992992993,,,,
BambuGene1169,56.55755755755756,,,147.0,121.97797797797799,,,42.0,58.22222222222222,,117.97597597597598,14.983983983983984,39.997997997998,,
BambuGene1173,,,,,,100.47147147147147,,,,,,,,,
BambuGene1177,124.95395395395396,,,61.57657657657658,50.0,,37.933933933933936,29.782782782782782,88.0,,45.47947947947948,,,75.0,
BambuGene1192,,,,,,,,,38.78978978978979,,22.754754754754757,,,,
BambuGene1197,,,,,,,,,,,,101.94294294294295,91.11711711711712,88.52952952952953,94.75375375375376
BambuGene1209,,,,,,,,96.42642642642643,24.0,16.996996996996998,,,,,
BambuGene1225,,,,,,,,,,,65.0,,,,
BambuGene1231,56.17917917917918,,,61.56256256256257,,,,,,,,,,,
BambuGene1235,58.990990990990994,99.9009009009009,,,137.0,,,,73.18318318318319,,89.50450450450451,,,,
BambuGene1237,,,,,,,,,,,,47.789789789789786,77.91391391391392,87.7097097097097,68.83183183183183
BambuGene1243,,,,43.992992992992995,97.58858858858859,,,,84.0,,,105.0,24.0,72.0,0.0
BambuGene1246,7.0,,127.0,19.65265265265265,,102.94094094094095,,143.0,,,83.84584584584584,,,,
BambuGene1249,183.97997997998,90.3993993993994,174.31531531531533,97.72672672672672,70.7987987987988,,,102.0,134.4154154154154,129.0,128.54654654654655,,,,
BambuGene1251,,,,,,36.0,,,,30.0,145.1821821821822,,,,
BambuGene1253,,,,145.98698698698698,,,,54.0,,,98.0,,,,
BambuGene1259,40.0,,,,,,,,104.08208208208208,,22.37837837837838,,,,
BambuGene1261,,,,,,,,,,,,7.9139139139139125,62.026026026026024,117.01201201201201,92.54354354354354
BambuGene1265,58.81481481481482,13.183183183183182,108.0,,80.88188188188188,,46.81981981981982,60.0,79.1931931931932,53.287287287287285,87.71671671671672,111.35535535535536,95.58858858858859,64.1951951951952,52.014014014014016
BambuGene128,62.0,,,,50.368368368368365,,,107.55855855855856,,139.97297297297297,107.93693693693693,,,,
BambuGene1286,110.94594594594595,,49.888888888888886,,,,,,,,,,,,
BambuGene1293,,,50.0,,,,,,,,,,,67.0,
BambuGene131,,,,,,,,,,,,71.96296296296296,,,
BambuGene1319,,,,,,69.01201201201201,,,107.0,,,,,,
BambuGene1323,81.1921921921922,39.910910910910914,52.651651651651655,186.8038038038038,32.43843843843843,40.929929929929926,95.0980980980981,63.12412412412412,82.42042042042043,111.15415415415416,73.50350350350351,,,,
BambuGene1329,,229.0,,,,,,157.0,71.88988988988989,,95.32432432432432,,,,
BambuGene133,,27.76076076076076,65.64764764764764,112.93093093093093,67.71271271271272,176.33933933933935,,57.32132132132132,54.36836836836837,85.21621621621621,52.585585585585584,,,,
BambuGene1333,,,,280.3573573573574,,,,,,,,,,,
BambuGene1335,57.98698698698699,56.3963963963964,52.501501501501494,51.7987987987988,59.31631631631632,46.011011011011014,44.551551551551555,49.17817817817818,60.72072072072072,57.44244244244245,51.07207207207207,54.66366366366366,102.38238238238237,,69.95595595595596
BambuGene1347,66.97797797797799,116.92292292292292,71.0,,,,129.98998998999,,173.0,,78.0,,,,
BambuGene1351,105.0,,124.0,,,85.0,,,,,102.0,,106.0,49.449449449449446,
BambuGene1357,,211.9189189189189,15.0,,,,,,121.97297297297297,,,,,,
BambuGene1361,63.0,,,,,,,,80.73773773773775,,91.35135135135135,,,,
BambuGene1366,,243.41341341341342,207.0,149.018018018018,,,,,24.0,,,,,,
BambuGene1368,59.78278278278279,60.77577577577578,72.3013013013013,55.97897897897898,81.36736736736736,46.31931931931932,57.46546546546546,105.52452452452452,86.63963963963964,65.06006006006007,75.56756756756758,58.82082082082082,90.1931931931932,59.51851851851852,93.33133133133133
BambuGene1372,,127.0,157.9069069069069,,,,,,,,,,,,
